Account Owner (ID),Address / Address 1,Address / Address 2,Address / City,Address / State,Address / Country,Address / Post Code,ARR / Amount,ARR / Currency,Creation date,Domain Name / Link URL,Domain Name / Link Label,Domain Name / Secondary Links,Employees,Id,ICP,Linkedin / Link URL,Linkedin / Link Label,Linkedin / Secondary Links,Name,Last update,X / Link URL,X / Link Label,X / Secondary Links
,"G-110, G LANE SAROJINI NAGAR SOUTH DELHI",,NEW DELHI,Delhi,India,110023,,INR,2023-03-20T13:42:26.000Z,,,[],,,true,,,[],Girdhari Lal Construction Pvt. Ltd.,2025-06-11T18:28:38.000Z,,,[]
,,,,,,,,INR,2024-03-15T22:48:47.000Z,,,[],,,false,,,[],Greenify,2026-02-20T13:06:00.000Z,,,[]
,,,,,,,,INR,2023-03-20T17:17:52.000Z,https://hotmail.com,hotmail.com,[],,,true,,,[],GREENIFY,2025-07-29T14:20:46.000Z,,,[]
,,,,,,,,INR,2025-05-14T14:35:57.000Z,,,[],,,true,,,[],Hotel Amber Airview Jaipur (Cygnett),2025-05-14T14:35:57.000Z,,,[]
,,,,,,,,INR,2024-05-02T18:05:29.000Z,https://ihg.com,ihg.com,[],,,true,,,[],IHG hotel noida,2024-05-14T15:30:54.000Z,,,[]
,RK PURAM,,,,,,,INR,2024-08-29T16:03:48.000Z,,,[],,,true,,,[],"IIEDEM PROJECT, CPWD",2024-08-29T16:03:48.000Z,,,[]
,,,,,,,,INR,2025-12-20T14:45:29.000Z,,,[],,,true,,,[],Institute of Liver and Biliary Sciences,2025-12-20T14:46:53.000Z,,,[]
,,,,,,,,INR,2024-11-21T18:26:21.000Z,,,[],,,true,,,[],Interise project management pvt. ltd.,2024-11-21T18:26:21.000Z,,,[]
,,,,,,,,INR,2025-04-11T14:48:20.000Z,,,[],,,true,,,[],ITD Cementation India Ltd,2025-04-11T14:48:20.000Z,,,[]
,,,,,,,,INR,2025-08-29T14:32:44.000Z,,,[],,,true,,,[],Jupiter International,2025-08-29T14:51:54.000Z,,,[]
,,,,,,,,INR,2023-05-24T14:09:05.000Z,,,[],,,true,,,[],Kamstrup metering solution Pvt. Ltd.,2024-05-14T17:21:12.000Z,,,[]
,,,,,,,,INR,2024-07-15T12:30:38.000Z,,,[],,,true,,,[],Karkardooma site,2025-07-29T14:25:29.000Z,,,[]
,,,,,,,,INR,2025-07-11T12:21:55.000Z,,,[],,,true,,,[],KISHAN KUMAR & SONS,2025-07-11T12:21:55.000Z,,,[]
,,,,,,,,INR,2025-04-03T17:04:30.000Z,,,[],,,true,,,[],Krishan K & Sons,2025-04-03T17:04:30.000Z,,,[]
,,,,,,,,INR,2024-05-29T15:13:58.000Z,,,[],,,true,,,[],Krishna Industries,2024-05-29T15:13:58.000Z,,,[]
,,,,,,,,INR,2025-04-29T12:13:06.000Z,,,[],,,true,,,[],Ladakh Bhawan,2025-10-04T15:40:59.000Z,,,[]
,,,,,,,,INR,2023-07-19T13:44:43.000Z,,,[],,,true,,,[],M/s. B. G. SHIRKE CONSTRUCTION TECH,2024-05-14T17:21:12.000Z,,,[]
,,,,,,,,INR,2025-05-15T13:09:59.000Z,,,[],,,true,,,[],Mahavir ji,2025-05-15T13:09:59.000Z,,,[]
,,,,,,,,INR,2025-07-25T12:31:01.000Z,,,[],,,true,,,[],Maruti Energy,2025-07-25T12:31:01.000Z,,,[]
,,,,,,,,INR,2026-01-12T12:50:33.000Z,,,[],,,true,,,[],Mr. Aniket Namdev,2026-01-12T12:50:33.000Z,,,[]
,,,,,,,,INR,2025-08-06T11:47:51.000Z,,,[],,,true,,,[],Mr. Ankush Sood,2025-08-06T11:47:51.000Z,,,[]
,,,,,,,,INR,2025-10-04T13:40:59.000Z,,,[],,,true,,,[],Mr. Arpan Chopra,2025-10-04T13:40:59.000Z,,,[]
,,,,,,,,INR,2025-06-27T10:00:39.000Z,,,[],,,true,,,[],Mr. Arush Arora,2025-06-27T10:00:39.000Z,,,[]
,,,,,,,,INR,2024-05-20T16:55:29.000Z,,,[],,,true,,,[],Mr. Ashish Agrawal,2024-05-20T16:55:29.000Z,,,[]
,,,,,,,,INR,2025-07-25T12:15:04.000Z,,,[],,,true,,,[],Mr. Ashish Shrivastav,2025-07-25T12:15:04.000Z,,,[]
,,,,,,,,INR,2025-06-26T12:05:14.000Z,,,[],,,true,,,[],Mr. Bhavish Arora,2025-06-26T12:05:14.000Z,,,[]
,"Mayur Vihar, 225 F, Phase 1, Pocket 1",Delhi,Delhi,,India,,,INR,2024-05-29T12:18:36.000Z,,,[],,,true,,,[],Mr. Deepak Suri,2024-05-29T12:18:36.000Z,,,[]
,Noida,,Noida,,India,,,INR,2024-05-29T12:24:07.000Z,,,[],,,true,,,[],Mr. Kunal Kumra,2024-05-29T12:24:07.000Z,,,[]
,"CP-10 RIICO 2ND PHASE,",,JHUNJHUNU,Rajasthan,India,,,INR,2024-05-06T11:41:17.000Z,,,[],,,true,,,[],Mr. Manish Kumar,2024-05-14T15:30:54.000Z,,,[]
,,,,,,,,INR,2024-05-10T14:39:35.000Z,,,[],,,true,,,[],Mr. Muhammad Rizwan Khurja,2024-05-14T15:30:54.000Z,,,[]
,Moradabad,,,,,,,INR,2024-06-06T13:25:09.000Z,,,[],,,true,,,[],Mr. Narendra Kumar,2024-06-06T13:25:09.000Z,,,[]
,,,,,,,,INR,2024-05-14T14:22:04.000Z,,,[],,,true,,,[],Mr. Naveen,2024-05-14T15:30:54.000Z,,,[]
,,,,,,,,INR,2024-05-03T10:53:51.000Z,,,[],,,true,,,[],Mr. Prashant Lokhande,2024-05-14T15:30:54.000Z,,,[]
,,,,,,,,INR,2024-05-20T14:58:17.000Z,,,[],,,true,,,[],Mr. Rajneesh Sharma,2024-05-20T14:58:17.000Z,,,[]
,Moradabad,,,,,,,INR,2024-06-06T13:31:42.000Z,,,[],,,true,,,[],Mr. Ram Gopal,2024-06-06T13:31:42.000Z,,,[]
,,,,,,,,INR,2024-05-21T18:34:06.000Z,https://gmail.com,gmail.com,[],,,true,,,[],Mr. Rao,2024-05-21T18:42:18.000Z,,,[]
,"CHIKHALI GHAT, CHIKHALI SHRIGONDA,",,AHAMADNAGAR,Maharashtra,India,,,INR,2024-05-06T11:34:55.000Z,,,[],,,true,,,[],Mr. Sachin Ambhore,2024-05-14T15:30:54.000Z,,,[]
,,,,,,,,INR,2024-08-20T11:30:56.000Z,,,[],,,true,,,[],Mr. SARVMEET,2024-08-20T11:30:56.000Z,,,[]
,Nazafgarh,,,,,,,INR,2024-06-15T13:26:50.000Z,,,[],,,true,,,[],Mr. Satyendra Kumar Phogat,2024-06-15T13:26:50.000Z,,,[]
,,,,,,,,INR,2024-04-22T13:44:19.000Z,,,[],,,true,,,[],Mr. Siddique,2024-05-27T13:41:24.000Z,,,[]
